2026-03-21T00:49:12.534 | CLIENT | INFO | Packet::serialize() - seq: 50331648 - payload: [ 0x68 0x65 ]
2026-03-21T00:49:12.534 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:19.378 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T00:49:25.500 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:25.500 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T00:49:25.500 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:25.500 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:25.500 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T00:49:25.500 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:25.500 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:25.500 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T00:49:25.500 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.690 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | INFO | Packet::serialize() - seq: 50331648 - payload: [ 0x61 0x3b ]
2026-03-21T00:49:29.691 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | INFO | Packet::serialize() - seq: 67108864 - payload: [ 0x73 0x6c ]
2026-03-21T00:49:29.691 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | INFO | Packet::serialize() - seq: 83886080 - payload: [ 0x64 0x67 ]
2026-03-21T00:49:29.691 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.691 | CLIENT | INFO | Packet::serialize() - seq: 100663296 - payload: [ 0x68 0x61 ]
2026-03-21T00:49:29.691 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.692 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.692 | CLIENT | INFO | Packet::serialize() - seq: 117440512 - payload: [ 0x3b 0x73 ]
2026-03-21T00:49:29.692 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.692 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.692 | CLIENT | INFO | Packet::serialize() - seq: 134217728 - payload: [ 0x6c 0x64 ]
2026-03-21T00:49:29.692 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T00:49:29.692 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T00:49:29.692 | CLIENT | INFO | Packet::serialize() - seq: 150994944 - payload: [ 0x68 0x67 ]
2026-03-21T00:49:29.692 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:36:33.217 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T16:36:47.771 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:36:47.771 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T16:36:47.771 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:36:47.771 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:36:47.771 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T16:36:47.771 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:36:47.771 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:36:47.771 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T16:36:47.771 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:46:47.566 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T16:46:48.999 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:46:48.999 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T16:46:48.999 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:46:48.999 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:46:48.999 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T16:46:48.999 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:46:49.000 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:46:49.000 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T16:46:49.000 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:52:05.808 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T16:52:13.297 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:52:13.297 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T16:52:13.297 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:52:13.297 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:52:13.297 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T16:52:13.297 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T16:52:13.298 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T16:52:13.298 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T16:52:13.298 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:48:16.433 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-21T17:48:22.632 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:48:22.632 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-21T17:48:22.632 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:48:22.632 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:48:22.632 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-21T17:48:22.632 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:48:22.633 | CLIENT | FUNCTION CALL | Packet::serialize()
2026-03-21T17:48:22.633 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-21T17:48:22.633 | CLIENT | FUNCTION END | Packet::serialize()
2026-03-21T17:50:25.672 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
